nx,num_steps,xvals,sol
20,720,"[-200. -180. -160. -140. -120. -100.  -80.  -60.  -40.  -20.    0.   20.
   40.   60.   80.  100.  120.  140.  160.  180.  200.]","[-98.99230533 -80.82572765 -59.33739582 -40.53192642 -19.56380259
  -0.36698387  20.31270518  39.73530465  60.21898501  79.82488459
 100.13510955 119.89418761 140.08303132 160.03609904 179.95845231
 198.15166092 212.56442551 221.6933895  226.61471622 229.21294814
 230.66752499]"
20,790,"[-200. -180. -160. -140. -120. -100.  -80.  -60.  -40.  -20.    0.   20.
   40.   60.   80.  100.  120.  140.  160.  180.  200.]","[-98.99230023 -80.82578495 -59.33738764 -40.53186911 -19.56388007
  -0.3669353   20.31270658  39.73526068  60.21904944  79.82482053
 100.13517521 119.89411386 140.08289115 160.03642207 179.96117319
 198.15819084 212.57272782 221.69965843 226.61790047 229.21453245
 230.66840693]"
20,860,"[-200. -180. -160. -140. -120. -100.  -80.  -60.  -40.  -20.    0.   20.
   40.   60.   80.  100.  120.  140.  160.  180.  200.]","[-98.99229603 -80.82583313 -59.33738068 -40.53182102 -19.56394518
  -0.36689446  20.3127077   39.73522381  60.21910348  79.82476677
 100.13523036 119.89405232 140.08277293 160.03668897 179.96344732
 198.16365889 212.57968359 221.70490948 226.62056588 229.21585841
 230.66914536]"
20,930,"[-200. -180. -160. -140. -120. -100.  -80.  -60.  -40.  -20.    0.   20.
   40.   60.   80.  100.  120.  140.  160.  180.  200.]","[-98.99229252 -80.8258742  -59.3373747  -40.53178007 -19.56400065
  -0.36685962  20.31270862  39.73519245  60.21914945  79.82472101
 100.13527734 119.89400019 140.08267188 160.03691316 179.96537637
 198.16830461 212.58559584 221.70937196 226.6228297  229.21698445
 230.66977268]"
90,20,"[-200.         -195.55555556 -191.11111111 -186.66666667 -182.22222222
 -177.77777778 -173.33333333 -168.88888889 -164.44444444 -160.
 -155.55555556 -151.11111111 -146.66666667 -142.22222222 -137.77777778
 -133.33333333 -128.88888889 -124.44444444 -120.         -115.55555556
 -111.11111111 -106.66666667 -102.22222222  -97.77777778  -93.33333333
  -88.88888889  -84.44444444  -80.          -75.55555556  -71.11111111
  -66.66666667  -62.22222222  -57.77777778  -53.33333333  -48.88888889
  -44.44444444  -40.          -35.55555556  -31.11111111  -26.66666667
  -22.22222222  -17.77777778  -13.33333333   -8.88888889   -4.44444444
    0.            4.44444444    8.88888889   13.33333333   17.77777778
   22.22222222   26.66666667   31.11111111   35.55555556   40.
   44.44444444   48.88888889   53.33333333   57.77777778   62.22222222
   66.66666667   71.11111111   75.55555556   80.           84.44444444
   88.88888889   93.33333333   97.77777778  102.22222222  106.66666667
  111.11111111  115.55555556  120.          124.44444444  128.88888889
  133.33333333  137.77777778  142.22222222  146.66666667  151.11111111
  155.55555556  160.          164.44444444  168.88888889  173.33333333
  177.77777778  182.22222222  186.66666667  191.11111111  195.55555556
  200.        ]","[-99.         -95.9348659  -90.96723477 -86.72124045 -82.20152182
 -77.78562965 -73.33035504 -68.89001859 -64.44401594 -60.00016254
 -55.5554939  -51.1111345  -46.6666578  -42.22222559 -37.7777765
 -33.33333382 -28.88888871 -24.44444453 -20.         -15.55555561
 -11.11111118  -6.66666679  -2.22222243   2.22222187   6.66666609
  11.11111016  15.55555398  19.99999742  24.44444023  28.88888203
  33.33332222  37.77775984  42.22219338  46.66662049  51.11103751
  55.55543879  59.99981562  64.4441547   68.88843583  73.33262852
  77.7766871   82.2205436   86.6640976   91.10720196  95.54964267
  99.99111121 104.43116659 108.86918433 113.30428859 117.7352634
 122.16043861 126.57754601 130.98354174 135.37439256 139.74482577
 144.08804679 148.39543371 152.65622566 156.85723072 160.98258918
 165.01363778 168.92892896 172.704463   176.3141883  179.730812
 182.92693857 185.87651587 188.55651893 190.94874579 193.04154645
 194.83126634 196.32317448 197.53167446 198.47966994 199.19707215
 199.71857813 200.0809869  200.32042234 200.46986311 200.5573251
 200.60490529 200.62871232 200.63952777 200.64391739 200.6454764
 200.64594781 200.64606468 200.64608717 200.64609026 200.64609052
 200.64609053]"
90,90,"[-200.         -195.55555556 -191.11111111 -186.66666667 -182.22222222
 -177.77777778 -173.33333333 -168.88888889 -164.44444444 -160.
 -155.55555556 -151.11111111 -146.66666667 -142.22222222 -137.77777778
 -133.33333333 -128.88888889 -124.44444444 -120.         -115.55555556
 -111.11111111 -106.66666667 -102.22222222  -97.77777778  -93.33333333
  -88.88888889  -84.44444444  -80.          -75.55555556  -71.11111111
  -66.66666667  -62.22222222  -57.77777778  -53.33333333  -48.88888889
  -44.44444444  -40.          -35.55555556  -31.11111111  -26.66666667
  -22.22222222  -17.77777778  -13.33333333   -8.88888889   -4.44444444
    0.            4.44444444    8.88888889   13.33333333   17.77777778
   22.22222222   26.66666667   31.11111111   35.55555556   40.
   44.44444444   48.88888889   53.33333333   57.77777778   62.22222222
   66.66666667   71.11111111   75.55555556   80.           84.44444444
   88.88888889   93.33333333   97.77777778  102.22222222  106.66666667
  111.11111111  115.55555556  120.          124.44444444  128.88888889
  133.33333333  137.77777778  142.22222222  146.66666667  151.11111111
  155.55555556  160.          164.44444444  168.88888889  173.33333333
  177.77777778  182.22222222  186.66666667  191.11111111  195.55555556
  200.        ]","[-99.         -95.9348659  -90.96723477 -86.72124045 -82.20152182
 -77.78562965 -73.33035504 -68.89001859 -64.44401594 -60.00016254
 -55.5554939  -51.1111345  -46.6666578  -42.22222559 -37.7777765
 -33.33333382 -28.88888871 -24.44444451 -19.99999997 -15.55555557
 -11.11111111  -6.66666667  -2.22222222   2.22222222   6.66666667
  11.11111111  15.55555556  20.          24.44444444  28.88888889
  33.33333333  37.77777778  42.22222222  46.66666667  51.11111111
  55.55555556  60.          64.44444444  68.88888889  73.33333333
  77.77777778  82.22222222  86.66666665  91.11111105  95.55555537
  99.99999941 104.44444265 108.88888361 113.33331835 117.77773675
 122.22211383 126.66639039 131.11043199 135.553946   139.99632291
 144.43634898 148.87171681 153.29824469 157.70872063 162.09133229
 166.42775129 170.69111848 174.84440493 178.8398353  182.62014593
 186.12228404 189.28366182 192.05030753 194.38541965 196.27627147
 197.73746682 198.80934894 199.55172178 200.03445902 200.32746504
 200.4924389  200.57802256 200.61862563 200.63609477 200.64284573
 200.64516322 200.64586079 200.64604208 200.64608202 200.64608932
 200.6460904  200.64609052 200.64609053 200.64609053 200.64609053
 200.64609053]"
90,160,"[-200.         -195.55555556 -191.11111111 -186.66666667 -182.22222222
 -177.77777778 -173.33333333 -168.88888889 -164.44444444 -160.
 -155.55555556 -151.11111111 -146.66666667 -142.22222222 -137.77777778
 -133.33333333 -128.88888889 -124.44444444 -120.         -115.55555556
 -111.11111111 -106.66666667 -102.22222222  -97.77777778  -93.33333333
  -88.88888889  -84.44444444  -80.          -75.55555556  -71.11111111
  -66.66666667  -62.22222222  -57.77777778  -53.33333333  -48.88888889
  -44.44444444  -40.          -35.55555556  -31.11111111  -26.66666667
  -22.22222222  -17.77777778  -13.33333333   -8.88888889   -4.44444444
    0.            4.44444444    8.88888889   13.33333333   17.77777778
   22.22222222   26.66666667   31.11111111   35.55555556   40.
   44.44444444   48.88888889   53.33333333   57.77777778   62.22222222
   66.66666667   71.11111111   75.55555556   80.           84.44444444
   88.88888889   93.33333333   97.77777778  102.22222222  106.66666667
  111.11111111  115.55555556  120.          124.44444444  128.88888889
  133.33333333  137.77777778  142.22222222  146.66666667  151.11111111
  155.55555556  160.          164.44444444  168.88888889  173.33333333
  177.77777778  182.22222222  186.66666667  191.11111111  195.55555556
  200.        ]","[-99.         -95.9348659  -90.96723477 -86.72124045 -82.20152182
 -77.78562965 -73.33035504 -68.89001859 -64.44401594 -60.00016254
 -55.5554939  -51.1111345  -46.6666578  -42.22222559 -37.7777765
 -33.33333382 -28.88888871 -24.44444451 -19.99999997 -15.55555557
 -11.11111111  -6.66666667  -2.22222222   2.22222222   6.66666667
  11.11111111  15.55555556  20.          24.44444444  28.88888889
  33.33333333  37.77777778  42.22222222  46.66666667  51.11111111
  55.55555556  60.          64.44444444  68.88888889  73.33333333
  77.77777778  82.22222222  86.66666667  91.11111111  95.55555556
 100.         104.44444444 108.88888885 113.3333331  117.77777667
 122.22221752 126.66664855 131.11104707 135.55534639 139.99936534
 144.4426478  148.88412752 153.32148734 157.75004373 162.16099314
 166.53896015 170.85903634 175.08389601 179.16202432 183.02838091
 186.60866994 189.82759832 192.62015131 194.94344199 196.78580189
 198.17009302 199.14985457 199.79927231 200.20002492 200.42886134
 200.54899493 200.60657354 200.63157545 200.64132661 200.64470927
 200.64574133 200.6460147  200.64607664 200.64608843 200.64609028
 200.64609051 200.64609053 200.64609053 200.64609053 200.64609053
 200.64609053]"
90,230,"[-200.         -195.55555556 -191.11111111 -186.66666667 -182.22222222
 -177.77777778 -173.33333333 -168.88888889 -164.44444444 -160.
 -155.55555556 -151.11111111 -146.66666667 -142.22222222 -137.77777778
 -133.33333333 -128.88888889 -124.44444444 -120.         -115.55555556
 -111.11111111 -106.66666667 -102.22222222  -97.77777778  -93.33333333
  -88.88888889  -84.44444444  -80.          -75.55555556  -71.11111111
  -66.66666667  -62.22222222  -57.77777778  -53.33333333  -48.88888889
  -44.44444444  -40.          -35.55555556  -31.11111111  -26.66666667
  -22.22222222  -17.77777778  -13.33333333   -8.88888889   -4.44444444
    0.            4.44444444    8.88888889   13.33333333   17.77777778
   22.22222222   26.66666667   31.11111111   35.55555556   40.
   44.44444444   48.88888889   53.33333333   57.77777778   62.22222222
   66.66666667   71.11111111   75.55555556   80.           84.44444444
   88.88888889   93.33333333   97.77777778  102.22222222  106.66666667
  111.11111111  115.55555556  120.          124.44444444  128.88888889
  133.33333333  137.77777778  142.22222222  146.66666667  151.11111111
  155.55555556  160.          164.44444444  168.88888889  173.33333333
  177.77777778  182.22222222  186.66666667  191.11111111  195.55555556
  200.        ]","[-99.         -95.9348659  -90.96723477 -86.72124045 -82.20152182
 -77.78562965 -73.33035504 -68.89001859 -64.44401594 -60.00016254
 -55.5554939  -51.1111345  -46.6666578  -42.22222559 -37.7777765
 -33.33333382 -28.88888871 -24.44444451 -19.99999997 -15.55555557
 -11.11111111  -6.66666667  -2.22222222   2.22222222   6.66666667
  11.11111111  15.55555556  20.          24.44444444  28.88888889
  33.33333333  37.77777778  42.22222222  46.66666667  51.11111111
  55.55555556  60.          64.44444444  68.88888889  73.33333333
  77.77777778  82.22222222  86.66666667  91.11111111  95.55555556
 100.         104.44444444 108.88888889 113.33333334 117.77777777
 122.22222196 126.66666455 131.11109927 135.55550194 139.99979091
 144.44372159 148.8866342  153.3269146  157.76096205 162.18142918
 166.57457964 170.91687911 175.17142537 179.28543052 183.19041345
 186.80665063 190.05247283 192.85726637 195.17514889 196.99520435
 198.34468173 199.28375321 199.89341242 200.26045734 200.46411659
 200.56758363 200.61537482 200.63528928 200.64271081 200.64516019
 200.64586813 200.64604504 200.6460827  200.64608942 200.64609041
 200.64609052 200.64609053 200.64609053 200.64609053 200.64609053
 200.64609053]"
90,300,"[-200.         -195.55555556 -191.11111111 -186.66666667 -182.22222222
 -177.77777778 -173.33333333 -168.88888889 -164.44444444 -160.
 -155.55555556 -151.11111111 -146.66666667 -142.22222222 -137.77777778
 -133.33333333 -128.88888889 -124.44444444 -120.         -115.55555556
 -111.11111111 -106.66666667 -102.22222222  -97.77777778  -93.33333333
  -88.88888889  -84.44444444  -80.          -75.55555556  -71.11111111
  -66.66666667  -62.22222222  -57.77777778  -53.33333333  -48.88888889
  -44.44444444  -40.          -35.55555556  -31.11111111  -26.66666667
  -22.22222222  -17.77777778  -13.33333333   -8.88888889   -4.44444444
    0.            4.44444444    8.88888889   13.33333333   17.77777778
   22.22222222   26.66666667   31.11111111   35.55555556   40.
   44.44444444   48.88888889   53.33333333   57.77777778   62.22222222
   66.66666667   71.11111111   75.55555556   80.           84.44444444
   88.88888889   93.33333333   97.77777778  102.22222222  106.66666667
  111.11111111  115.55555556  120.          124.44444444  128.88888889
  133.33333333  137.77777778  142.22222222  146.66666667  151.11111111
  155.55555556  160.          164.44444444  168.88888889  173.33333333
  177.77777778  182.22222222  186.66666667  191.11111111  195.55555556
  200.        ]","[-99.         -95.9348659  -90.96723477 -86.72124045 -82.20152182
 -77.78562965 -73.33035504 -68.89001859 -64.44401594 -60.00016254
 -55.5554939  -51.1111345  -46.6666578  -42.22222559 -37.7777765
 -33.33333382 -28.88888871 -24.44444451 -19.99999997 -15.55555557
 -11.11111111  -6.66666667  -2.22222222   2.22222222   6.66666667
  11.11111111  15.55555556  20.          24.44444444  28.88888889
  33.33333333  37.77777778  42.22222222  46.66666667  51.11111111
  55.55555556  60.          64.44444444  68.88888889  73.33333333
  77.77777778  82.22222222  86.66666667  91.11111111  95.55555556
 100.         104.44444444 108.88888889 113.33333334 117.77777781
 122.22222232 126.66666668 131.11110891 135.5555382  139.99990956
 144.44406625 148.88753535 153.32905431 157.76560454 162.19067423
 166.59153089 170.94556008 175.21627218 179.35029387 183.27722088
 186.91413933 190.17555319 192.98747061 195.30222995 197.10943353
 198.43903035 199.35516347 199.94277697 200.29150212 200.48179554
 200.57664996 200.61953487 200.63698418 200.64331847 200.64534989
 200.64591906 200.64605663 200.6460849  200.64608976 200.64609045
 200.64609053 200.64609053 200.64609053 200.64609053 200.64609053
 200.64609053]"
90,370,"[-200.         -195.55555556 -191.11111111 -186.66666667 -182.22222222
 -177.77777778 -173.33333333 -168.88888889 -164.44444444 -160.
 -155.55555556 -151.11111111 -146.66666667 -142.22222222 -137.77777778
 -133.33333333 -128.88888889 -124.44444444 -120.         -115.55555556
 -111.11111111 -106.66666667 -102.22222222  -97.77777778  -93.33333333
  -88.88888889  -84.44444444  -80.          -75.55555556  -71.11111111
  -66.66666667  -62.22222222  -57.77777778  -53.33333333  -48.88888889
  -44.44444444  -40.          -35.55555556  -31.11111111  -26.66666667
  -22.22222222  -17.77777778  -13.33333333   -8.88888889   -4.44444444
    0.            4.44444444    8.88888889   13.33333333   17.77777778
   22.22222222   26.66666667   31.11111111   35.55555556   40.
   44.44444444   48.88888889   53.33333333   57.77777778   62.22222222
   66.66666667   71.11111111   75.55555556   80.           84.44444444
   88.88888889   93.33333333   97.77777778  102.22222222  106.66666667
  111.11111111  115.55555556  120.          124.44444444  128.88888889
  133.33333333  137.77777778  142.22222222  146.66666667  151.11111111
  155.55555556  160.          164.44444444  168.88888889  173.33333333
  177.77777778  182.22222222  186.66666667  191.11111111  195.55555556
  200.        ]","[-99.         -95.9348659  -90.96723477 -86.72124045 -82.20152182
 -77.78562965 -73.33035504 -68.89001859 -64.44401594 -60.00016254
 -55.5554939  -51.1111345  -46.6666578  -42.22222559 -37.7777765
 -33.33333382 -28.88888871 -24.44444451 -19.99999997 -15.55555557
 -11.11111111  -6.66666667  -2.22222222   2.22222222   6.66666667
  11.11111111  15.55555556  20.          24.44444444  28.88888889
  33.33333333  37.77777778  42.22222222  46.66666667  51.11111111
  55.55555556  60.          64.44444444  68.88888889  73.33333333
  77.77777778  82.22222222  86.66666667  91.11111111  95.55555556
 100.         104.44444444 108.88888889 113.33333333 117.77777779
 122.22222231 126.666667   131.11111136 135.55555017 139.99995563
 144.44421641 148.88796328 153.33014045 157.7680886  162.19583336
 166.60131407 170.96256265 175.24342524 179.3902095  183.33128717
 186.98164581 190.25323894 193.06981604 195.38253736 197.18137765
 198.49811107 199.39952039 199.97312572 200.31035152 200.49237396
 200.58198485 200.621937   200.63794249 200.64365417 200.64545207
 200.64594575 200.64606253 200.64608599 200.64608993 200.64609047
 200.64609053 200.64609053 200.64609053 200.64609053 200.64609053
 200.64609053]"
